Disease,NaN_Count,NaN_Proportion
31,0,0.0
46,493,0.004263783783783784
47,453,0.003917837837837838
48,167,0.0014443243243243244
49,177,0.0015308108108108107
50,221,0.0019113513513513514
51,213,0.0018421621621621622
102,6049,0.052315675675675674
670,0,0.0
680,302,0.002611891891891892
699,0,0.0
709,302,0.002611891891891892
728,302,0.002611891891891892
738,303,0.0026205405405405405
864,0,0.0
884,0,0.0
904,0,0.0
1031,0,0.0
1110,115625,1.0
1160,0,0.0
1200,0,0.0
1239,0,0.0
1289,0,0.0
1299,0,0.0
1309,0,0.0
1319,0,0.0
1329,0,0.0
1339,0,0.0
1349,0,0.0
1359,0,0.0
1369,0,0.0
1379,0,0.0
1389,0,0.0
1408,2576,0.02227891891891892
1418,0,0.0
1428,0,0.0
1438,0,0.0
1458,0,0.0
1478,0,0.0
1488,0,0.0
1518,0,0.0
1528,0,0.0
1558,0,0.0
1707,0,0.0
1767,1,8.64864864864865e-06
1920,1,8.64864864864865e-06
1930,1,8.64864864864865e-06
1940,1,8.64864864864865e-06
1950,1,8.64864864864865e-06
1960,1,8.64864864864865e-06
1970,1,8.64864864864865e-06
1980,1,8.64864864864865e-06
1990,1,8.64864864864865e-06
2000,1,8.64864864864865e-06
2010,1,8.64864864864865e-06
2020,1,8.64864864864865e-06
2030,1,8.64864864864865e-06
2040,1,8.64864864864865e-06
2050,1,8.64864864864865e-06
2060,1,8.64864864864865e-06
2070,1,8.64864864864865e-06
2080,1,8.64864864864865e-06
2090,1,8.64864864864865e-06
2100,1,8.64864864864865e-06
2110,1,8.64864864864865e-06
2178,1,8.64864864864865e-06
2188,1,8.64864864864865e-06
2227,1,8.64864864864865e-06
2237,115625,1.0
2247,1,8.64864864864865e-06
2316,1,8.64864864864865e-06
2335,1,8.64864864864865e-06
2463,1,8.64864864864865e-06
2814,51188,0.442707027027027
2834,51188,0.442707027027027
2956,113364,0.9804454054054054
3062,9953,0.08608
3077,213,0.0018421621621621622
3082,36388,0.314707027027027
3710,102218,0.8840475675675675
3731,107198,0.9271178378378379
3829,95650,0.8272432432432433
4079,6049,0.052315675675675674
4080,6050,0.05232432432432432
4195,71803,0.6209989189189189
4196,71823,0.6211718918918919
4598,69140,0.5979675675675675
4609,91009,0.7871048648648649
4620,91009,0.7871048648648649
4631,69140,0.5979675675675675
4642,69140,0.5979675675675675
4653,69140,0.5979675675675675
4717,69140,0.5979675675675675
4728,69140,0.5979675675675675
4825,69160,0.5981405405405406
4836,69160,0.5981405405405406
5201,90660,0.7840864864864865
5208,90677,0.7842335135135136
5375,99019,0.8563805405405406
5386,99020,0.8563891891891892
5663,106432,0.920492972972973
5674,106432,0.920492972972973
5959,115040,0.9949405405405405
6138,0,0.0
6142,0,0.0
6144,0,0.0
6145,1,8.64864864864865e-06
6160,0,0.0
6162,477,0.004125405405405406
6164,412,0.003563243243243243
20019,72283,0.6251502702702703
20021,72288,0.6251935135135135
20116,0,0.0
20122,115338,0.9975178378378379
20126,89759,0.776294054054054
20160,419,0.0036237837837837837
21000,0,0.0
21001,345,0.002983783783783784
21002,305,0.002637837837837838
21021,71937,0.6221578378378378
21022,0,0.0
22009,0,0.0
22021,0,0.0
22189,115625,1.0
23099,1895,0.01638918918918919
24003,1285,0.011113513513513513
24004,1285,0.011113513513513513
24005,8442,0.07301189189189189
24006,8442,0.07301189189189189
24007,8442,0.07301189189189189
24008,8442,0.07301189189189189
24014,1285,0.011113513513513513
24020,1285,0.011113513513513513
24021,1285,0.011113513513513513
24022,1285,0.011113513513513513
24500,13813,0.11946378378378378
26410,115625,1.0
26426,115625,1.0
26427,115625,1.0
30000,3167,0.02739027027027027
30010,3166,0.02738162162162162
30020,3166,0.02738162162162162
30030,3166,0.02738162162162162
30040,3167,0.02739027027027027
30050,3166,0.02738162162162162
30060,3168,0.027398918918918918
30070,3167,0.02739027027027027
30080,3168,0.027398918918918918
30090,3222,0.027865945945945946
30100,3169,0.027407567567567567
30110,3222,0.027865945945945946
30120,3354,0.029007567567567567
30130,3354,0.029007567567567567
30140,3354,0.029007567567567567
30150,3354,0.029007567567567567
30160,3354,0.029007567567567567
30170,3413,0.02951783783783784
30180,3353,0.02899891891891892
30190,3353,0.02899891891891892
30200,3353,0.02899891891891892
30210,3353,0.02899891891891892
30220,3353,0.02899891891891892
30230,3414,0.029526486486486488
30240,4773,0.04128
30250,4773,0.04128
30260,4773,0.04128
30270,4838,0.04184216216216216
30280,4838,0.04184216216216216
30290,4838,0.04184216216216216
30300,4838,0.04184216216216216
30500,79569,0.6881643243243243
30510,3120,0.026983783783783785
30520,3357,0.029033513513513513
30530,3352,0.02899027027027027
30600,14212,0.1229145945945946
30610,5046,0.043641081081081085
30620,5095,0.04406486486486486
30630,14790,0.12791351351351352
30640,5566,0.04813837837837838
30650,5474,0.0473427027027027
30660,21862,0.18907675675675675
30670,5148,0.04452324324324324
30680,14258,0.12331243243243244
30690,5062,0.043779459459459456
30700,5110,0.04419459459459459
30710,5302,0.04585513513513514
30720,5066,0.04381405405405405
30730,5116,0.044246486486486485
30740,14336,0.12398702702702703
30750,4935,0.04268108108108108
30760,14263,0.12335567567567568
30770,5641,0.04878702702702703
30780,5253,0.04543135135135135
30790,27501,0.23784648648648649
30800,98450,0.8514594594594594
30810,14386,0.12441945945945945
30820,105721,0.9143437837837838
30830,15149,0.13101837837837838
30840,5527,0.04780108108108108
30850,15710,0.13587027027027027
30860,14334,0.12396972972972974
30870,5145,0.044497297297297296
30880,5158,0.04460972972972973
30890,9896,0.08558702702702703
