Disease,NaN_Count,NaN_Proportion
78,45967,0.39755243243243243
1100,0,0.0
1548,0,0.0
1618,25178,0.21775567567567566
1628,8205,0.07096216216216217
1677,0,0.0
1717,0,0.0
1727,0,0.0
1737,0,0.0
1747,0,0.0
1757,1,8.64864864864865e-06
2296,1,8.64864864864865e-06
2306,1,8.64864864864865e-06
3005,103029,0.8910616216216216
3081,36388,0.314707027027027
3143,45967,0.39755243243243243
3144,45972,0.39759567567567566
3147,45967,0.39755243243243243
3148,46001,0.39784648648648646
3393,40211,0.3477708108108108
4100,74100,0.6408648648648648
4101,74103,0.6408908108108108
4104,74100,0.6408648648648648
4105,74121,0.6410464864864864
4106,74100,0.6408648648648648
4119,74107,0.6409254054054054
4120,74110,0.6409513513513514
4123,74107,0.6409254054054054
4124,74136,0.6411762162162162
4125,74107,0.6409254054054054
4233,71592,0.619174054054054
4244,71586,0.6191221621621622
4792,69160,0.5981405405405406
4803,69160,0.5981405405405406
4814,100465,0.8688864864864865
6139,0,0.0
6140,73794,0.6382183783783784
6141,21112,0.18259027027027028
6146,1,8.64864864864865e-06
20022,49625,0.4291891891891892
20121,112086,0.9693924324324324
